;QUARTO_INFOS;GARAGEM_INFOS;BANHEIROS_INFOS;AREA_SEGMENTADA;BAIRRO;FAIXA_PRECOS
0;4 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Graça;(1140000.0, 88000000.0]
1;4 quartos;2 vagas de garagem;3 banheiros;(163.0, 4126.0];Graça;(450000.0, 650000.0]
2;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(450000.0, 650000.0]
3;1 quarto;1 vaga de garagem;1 banheiro;(60.0, 80.0];Pituba;(-0.001, 300000.0]
4;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
5;3 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Pituba;(450000.0, 650000.0]
6;2 quartos;;3 banheiros;(60.0, 80.0];Candeal;(300000.0, 450000.0]
7;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Pituba;(450000.0, 650000.0]
8;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Brotas;(-0.001, 300000.0]
9;4 quartos;;2 banheiros;(163.0, 4126.0];Pituba;(650000.0, 1140000.0]
10;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Rio Vermelho;(650000.0, 1140000.0]
11;4 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Canela;(650000.0, 1140000.0]
12;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Patamares;(1140000.0, 88000000.0]
13;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Amaralina;(300000.0, 450000.0]
14;4 quartos;3 vagas de garagem;4 banheiros;(110.0, 163.0];Barbalho;(1140000.0, 88000000.0]
15;2 quartos;2 vagas de garagem;1 banheiro;(12.999, 60.0];Federação;(-0.001, 300000.0]
16;2 quartos;;1 banheiro;(12.999, 60.0];Engenho Velho da Federação;(-0.001, 300000.0]
17;4 quartos;3 vagas de garagem;2 banheiros;(110.0, 163.0];Itaigara;(1140000.0, 88000000.0]
18;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Vila Laura;(-0.001, 300000.0]
19;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Alphaville I;(300000.0, 450000.0]
20;2 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Jardim Apipema;(650000.0, 1140000.0]
21;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Brotas;(450000.0, 650000.0]
22;4 quartos;3 vagas de garagem;4 banheiros;(110.0, 163.0];Alphaville I;(1140000.0, 88000000.0]
23;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Caminho das Árvores;(450000.0, 650000.0]
24;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Piatã;(300000.0, 450000.0]
25;4 quartos;5 ou mais vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
26;2 quartos;;1 banheiro;(12.999, 60.0];Paralela;(-0.001, 300000.0]
27;2 quartos;2 vagas de garagem;4 banheiros;(80.0, 110.0];Horto Florestal;(650000.0, 1140000.0]
28;4 quartos;3 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Caminho das Árvores;(1140000.0, 88000000.0]
29;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Cabula;(300000.0, 450000.0]
30;2 quartos;1 vaga de garagem;3 banheiros;(12.999, 60.0];Imbuí;(450000.0, 650000.0]
31;3 quartos;2 vagas de garagem;4 banheiros;(80.0, 110.0];Candeal;(450000.0, 650000.0]
32;3 quartos;2 vagas de garagem;4 banheiros;(80.0, 110.0];Graça;(650000.0, 1140000.0]
33;3 quartos;2 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Comércio;(1140000.0, 88000000.0]
34;3 quartos;;2 banheiros;(60.0, 80.0];Jardim das Margaridas;(-0.001, 300000.0]
35;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Cabula;(-0.001, 300000.0]
36;2 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Armação;(450000.0, 650000.0]
37;3 quartos;3 vagas de garagem;3 banheiros;(110.0, 163.0];Caminho das Árvores;(1140000.0, 88000000.0]
38;4 quartos;2 vagas de garagem;3 banheiros;(163.0, 4126.0];Centro;(650000.0, 1140000.0]
39;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Armação;(300000.0, 450000.0]
40;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Alphaville I;(650000.0, 1140000.0]
41;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Imbuí;(650000.0, 1140000.0]
42;4 quartos;4 vagas de garagem;4 banheiros;(163.0, 4126.0];Candeal;(1140000.0, 88000000.0]
43;1 quarto;2 vagas de garagem;2 banheiros;(60.0, 80.0];Pituaçu;(450000.0, 650000.0]
44;2 quartos;2 vagas de garagem;1 banheiro;(12.999, 60.0];Jardim das Margaridas;(-0.001, 300000.0]
45;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Candeal;(650000.0, 1140000.0]
46;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Ondina;(1140000.0, 88000000.0]
47;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
48;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Candeal;(1140000.0, 88000000.0]
49;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Imbuí;(450000.0, 650000.0]
50;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Garcia;(300000.0, 450000.0]
51;2 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Costa Azul;(-0.001, 300000.0]
52;3 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Stiep;(450000.0, 650000.0]
53;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
54;4 quartos;2 vagas de garagem;2 banheiros;(110.0, 163.0];Pituba;(450000.0, 650000.0]
55;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Graça;(650000.0, 1140000.0]
