;ID_ANUNCIO;TIPO_IMOVEL;TITULO;QUARTO_INFOS;QTD_QUARTOS;AREA_M2;GARAGEM_INFOS;VAGAS_GARAGEM;BANHEIROS_INFOS;QTD_BANHEIROS;CIDADE;BAIRRO;VALOR_RS;IPTU_RS;CONDOMINIO_RS;DATA_PUBLICACAO;LINK
0;1032509023;Apartamento;SALVADOR - Apartamento Padrão - GRAÇA;4 quartos;4.0;305.0;3 vagas de garagem;3.0;5 ou mais banheiros;5.0;Salvador;Graça;4800000.0;2000.0;1900.0;2023-02-05 18:34;https://ba.olx.com.br/grande-salvador/imoveis/salvador-apartamento-padrao-graca-1032509023
1;1093674215;Apartamento;Apartamento na Graça com  4 quartos com suíte e closet ,170 m² de área privativa, sala de ;4 quartos;4.0;180.0;2 vagas de garagem;2.0;3 banheiros;3.0;Salvador;Graça;550000.0;140.0;1245.0;2023-02-05 18:34;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-na-graca-com-4-quartos-com-suite-e-closet-170-m-de-area-privativa-sala-de-1093674215
2;1036623948;Apartamento;Apartamento residencial para Venda RUA DO JABORANDI Caminho das Árvores, Salvador 1 dormit;1 quarto;1.0;56.0;1 vaga de garagem;1.0;1 banheiro;1.0;Salvador;Caminho das Árvores;459000.0;;450.0;2023-02-05 18:34;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-residencial-para-venda-rua-do-jaborandi-caminho-das-arvores-salvador-1-dormit-1036623948
3;984020770;Apartamento;Salvador - Kitchenette/Conjugados - Pituba;1 quarto;1.0;71.0;1 vaga de garagem;1.0;1 banheiro;1.0;Salvador;Pituba;225000.0;68.0;313.0;2023-02-05 18:32;https://ba.olx.com.br/grande-salvador/imoveis/salvador-kitchenette-conjugados-pituba-984020770
4;933913019;Apartamento;Apartamento para venda com 260 metros quadrados com 4 quartos em Horto Florestal - Salvado;4 quartos;4.0;260.0;4 vagas de garagem;4.0;5 ou mais banheiros;5.0;Salvador;Horto Florestal;2000000.0;638.0;2200.0;2023-02-05 18:32;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-com-260-metros-quadrados-com-4-quartos-em-horto-florestal-salvado-933913019
5;1039018711;Apartamento;Apartamento com 3 dormitórios à venda, 74 m² por R$ 600.000,00 - Pituba - Salvador/BA;3 quartos;3.0;74.0;1 vaga de garagem;1.0;3 banheiros;3.0;Salvador;Pituba;600000.0;1392.0;850.0;2023-02-05 18:32;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-com-3-dormitorios-a-venda-74-m-por-r-600-000-00-pituba-salvador-ba-1039018711
6;933912351;Apartamento;Apartamento para venda com 70 metros quadrados com 2 quartos em Candeal - Salvador - BA;2 quartos;2.0;70.0;;;3 banheiros;3.0;Salvador;Candeal;450000.0;172.0;746.0;2023-02-05 18:32;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-com-70-metros-quadrados-com-2-quartos-em-candeal-salvador-ba-933912351
7;1126315868;Apartamento;Apartamento para venda composto de 3 quartos em Pituba - Salvador - Bahia;3 quartos;3.0;120.0;2 vagas de garagem;2.0;3 banheiros;3.0;Salvador;Pituba;580000.0;190.0;500.0;2023-02-05 18:32;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-composto-de-3-quartos-em-pituba-salvador-bahia-1126315868
8;1137759744;Apartamento;Amplo apartamento de 3/4 em Brotas próximo ao Atakarejo - Salvador;3 quartos;3.0;100.0;1 vaga de garagem;1.0;2 banheiros;2.0;Salvador;Brotas;210000.0;230.0;400.0;2023-02-05 18:31;https://ba.olx.com.br/grande-salvador/imoveis/amplo-apartamento-de-3-4-em-brotas-proximo-ao-atakarejo-salvador-1137759744
9;1112470813;Apartamento;Apartamento de 04 quartos sendo 02 suítes na Pituba;4 quartos;4.0;198.0;;;2 banheiros;2.0;Salvador;Pituba;950000.0;4554.0;1800.0;2023-02-05 18:29;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-de-04-quartos-sendo-02-suites-na-pituba-1112470813
10;1115337529;Apartamento;Apartamento para venda com 3 quartos, sendo 1 suíte, 120m², 2 garagem no Rio Vermelho -Sal;3 quartos;3.0;120.0;2 vagas de garagem;2.0;4 banheiros;4.0;Salvador;Rio Vermelho;750000.0;1991.0;1230.0;2023-02-05 18:29;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-com-3-quartos-sendo-1-suite-120m-2-garagem-no-rio-vermelho-sal-1115337529
11;1011955860;Apartamento;SALVADOR - Apartamento Padrão - CANELA;4 quartos;4.0;140.0;2 vagas de garagem;2.0;3 banheiros;3.0;Salvador;Canela;760000.0;1389.0;935.0;2023-02-05 18:29;https://ba.olx.com.br/grande-salvador/imoveis/salvador-apartamento-padrao-canela-1011955860
12;1083228313;Apartamento;Patamares 3 suítes Parque TROPICAL;3 quartos;3.0;114.0;2 vagas de garagem;2.0;4 banheiros;4.0;Salvador;Patamares;1150000.0;;;2023-02-05 18:29;https://ba.olx.com.br/grande-salvador/imoveis/patamares-3-suites-parque-tropical-1083228313
13;1132327401;Apartamento;Apartamento para Venda em Salvador, Amaralina, 3 dormitórios, 1 suíte, 3 banheiros, 1 vaga;3 quartos;3.0;103.0;1 vaga de garagem;1.0;3 banheiros;3.0;Salvador;Amaralina;310000.0;134.0;720.0;2023-02-05 18:29;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-em-salvador-amaralina-3-dormitorios-1-suite-3-banheiros-1-vaga-1132327401
14;1008008593;Apartamento;APARTAMENTO RESIDENCIAL em SALVADOR - BA, Horto Florestal;4 quartos;4.0;154.0;3 vagas de garagem;3.0;4 banheiros;4.0;Salvador;Barbalho;1601478.0;;;2023-02-05 18:26;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-residencial-em-salvador-ba-horto-florestal-1008008593
15;991837603;Apartamento;Federação - Parque São Braz - 2/4 Condomínio fechado com portaria 24 hrs.;2 quartos;2.0;52.0;2 vagas de garagem;2.0;1 banheiro;1.0;Salvador;Federação;189000.0;220.0;250.0;2023-02-05 18:26;https://ba.olx.com.br/grande-salvador/imoveis/federacao-parque-sao-braz-2-4-condominio-fechado-com-portaria-24-hrs-991837603
16;1094260975;Apartamento;Apartamentos 2 Quartos/Dormitórios para venda em Salva;2 quartos;2.0;46.0;;;1 banheiro;1.0;Salvador;Engenho Velho da Federação;168000.0;;110.0;2023-02-05 18:26;https://ba.olx.com.br/grande-salvador/imoveis/apartamentos-2-quartos-dormitorios-para-venda-em-salva-1094260975
17;1134864380;Apartamento;Itaigara, 160 metros, 4/4, 3 Suítes,nascente,armários,infra, 3 garagens- Salvador - BA;4 quartos;4.0;160.0;3 vagas de garagem;3.0;2 banheiros;2.0;Salvador;Itaigara;1250000.0;6000.0;2350.0;2023-02-05 18:26;https://ba.olx.com.br/grande-salvador/imoveis/itaigara-160-metros-4-4-3-suites-nascente-armarios-infra-3-garagens-salvador-ba-1134864380
18;1137913343;Apartamento;excelente apartameno luis anselmo;3 quartos;3.0;72.0;1 vaga de garagem;1.0;2 banheiros;2.0;Salvador;Vila Laura;260000.0;;530.0;2023-02-05 18:26;https://ba.olx.com.br/grande-salvador/imoveis/excelente-apartameno-luis-anselmo-1137913343
19;1017790747;Apartamento;Apartamento Mobiliado, Quarto e Sala decorado em Alphaville para Investidor;1 quarto;1.0;47.0;1 vaga de garagem;1.0;1 banheiro;1.0;Salvador;Alphaville I;450000.0;1500.0;370.0;2023-02-05 18:25;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-mobiliado-quarto-e-sala-decorado-em-alphaville-para-investidor-1017790747
20;1118737293;Apartamento;Apartamento 2 Suítes, Jardim Apipema, 110 m².;2 quartos;2.0;110.0;2 vagas de garagem;2.0;2 banheiros;2.0;Salvador;Jardim Apipema;680000.0;270.0;900.0;2023-02-05 18:25;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-2-suites-jardim-apipema-110-m-1118737293
21;1046979094;Apartamento;Cond. Pátio Arvoredo - Apto 3/4 (2 suítes) com 84m² no Parque Bela Vista, Salvador-Ba;3 quartos;3.0;84.0;2 vagas de garagem;2.0;3 banheiros;3.0;Salvador;Brotas;495000.0;960.0;;2023-02-05 18:25;https://ba.olx.com.br/grande-salvador/imoveis/cond-patio-arvoredo-apto-3-4-2-suites-com-84m-no-parque-bela-vista-salvador-ba-1046979094
22;1019123530;Apartamento;Apartamento para venda com 145 metros quadrados com 4 quartos em Alphaville I - Salvador;4 quartos;4.0;145.0;3 vagas de garagem;3.0;4 banheiros;4.0;Salvador;Alphaville I;1550000.0;350.0;;2023-02-05 18:25;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-com-145-metros-quadrados-com-4-quartos-em-alphaville-i-salvador-1019123530
23;1072203051;Apartamento;SALVADOR - Padrão - Caminho das Árvores;2 quartos;2.0;70.0;1 vaga de garagem;1.0;2 banheiros;2.0;Salvador;Caminho das Árvores;513000.0;120.0;;2023-02-05 18:23;https://ba.olx.com.br/grande-salvador/imoveis/salvador-padrao-caminho-das-arvores-1072203051
24;1124436908;Apartamento;Apartamento para venda tem 60 metros quadrados com 2 quartos em Piatã - Salvador - BA;2 quartos;2.0;60.0;1 vaga de garagem;1.0;2 banheiros;2.0;Salvador;Piatã;350000.0;60.0;200.0;2023-02-05 18:22;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-tem-60-metros-quadrados-com-2-quartos-em-piata-salvador-ba-1124436908
25;993234401;Apartamento;Mansão Torre do Horto - Apartamento  - Venda;4 quartos;4.0;295.0;5 ou mais vagas de garagem;5.0;5 ou mais banheiros;5.0;Salvador;Horto Florestal;2800000.0;590.0;;2023-02-05 18:22;https://ba.olx.com.br/grande-salvador/imoveis/mansao-torre-do-horto-apartamento-venda-993234401
26;978325564;Apartamento;Apartamento para venda na Paralela região do Imbui- Salvador - BA;2 quartos;2.0;39.0;;;1 banheiro;1.0;Salvador;Paralela;209000.0;;;2023-02-05 18:20;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-na-paralela-regiao-do-imbui-salvador-ba-978325564
27;1015134937;Apartamento;Apartamento 3 Quartos para Venda em Salvador, Horto Florestal, 2 dormitórios, 2 suítes, 4 ;2 quartos;2.0;83.0;2 vagas de garagem;2.0;4 banheiros;4.0;Salvador;Horto Florestal;1050000.0;;1200.0;2023-02-05 18:20;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-3-quartos-para-venda-em-salvador-horto-florestal-2-dormitorios-2-suites-4-1015134937
28;985827600;Apartamento;Apartamento 4 Quartos para Venda em Salvador, Caminho das Árvores, 4 dormitórios, 3 suítes;4 quartos;4.0;138.0;3 vagas de garagem;3.0;5 ou mais banheiros;5.0;Salvador;Caminho das Árvores;1180000.0;200.0;1550.0;2023-02-05 18:20;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-4-quartos-para-venda-em-salvador-caminho-das-arvores-4-dormitorios-3-suites-985827600
29;1103590218;Apartamento;Apartamento à venda no bairro Cabula - Salvador/BA;2 quartos;2.0;61.0;1 vaga de garagem;1.0;1 banheiro;1.0;Salvador;Cabula;324990.0;127.0;600.0;2023-02-05 18:20;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-a-venda-no-bairro-cabula-salvador-ba-1103590218
30;1124478858;Apartamento;Apartamento 2 Quartos para Venda em Salvador, ImbuÍ, 2 dormitórios, 1 suíte, 3 banheiros, ;2 quartos;2.0;60.0;1 vaga de garagem;1.0;3 banheiros;3.0;Salvador;Imbuí;490000.0;160.0;488.0;2023-02-05 18:20;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-2-quartos-para-venda-em-salvador-imbui-2-dormitorios-1-suite-3-banheiros-1124478858
31;1085649383;Apartamento;Apartamento a venda, 103m², 3/4, Cidade Jardim, Salvador.;3 quartos;3.0;103.0;2 vagas de garagem;2.0;4 banheiros;4.0;Salvador;Candeal;590000.0;1820.0;1030.0;2023-02-05 18:19;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-a-venda-103m-3-4-cidade-jardim-salvador-1085649383
32;1066952010;Apartamento;3 Quartos - 2 Suíte - 94 m² - Varanda - 2 Vagas de Garagem;3 quartos;3.0;94.0;2 vagas de garagem;2.0;4 banheiros;4.0;Salvador;Graça;780000.0;550.0;950.0;2023-02-05 18:19;https://ba.olx.com.br/grande-salvador/imoveis/3-quartos-2-suite-94-m-varanda-2-vagas-de-garagem-1066952010
33;985920969;Apartamento;Condomínio Porto Trapiche com 3 suítes alto padrão 184 m²;3 quartos;3.0;187.0;2 vagas de garagem;2.0;5 ou mais banheiros;5.0;Salvador;Comércio;3490000.0;506.0;3800.0;2023-02-05 18:17;https://ba.olx.com.br/grande-salvador/imoveis/condominio-porto-trapiche-com-3-suites-alto-padrao-184-m-985920969
34;1139089800;Apartamento;Apto o 3 dormitórios à venda, 75 m² R$ 160.000,00;3 quartos;3.0;75.0;;;2 banheiros;2.0;Salvador;Jardim das Margaridas;160000.0;;268.0;2023-02-05 18:17;https://ba.olx.com.br/grande-salvador/imoveis/apto-o-3-dormitorios-a-venda-75-m-r-160-000-00-1139089800
35;1025040676;Apartamento;Apartamento no cabula IV;2 quartos;2.0;52.0;1 vaga de garagem;1.0;1 banheiro;1.0;Salvador;Cabula;175000.0;;200.0;2023-02-05 18:17;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-no-cabula-iv-1025040676
36;981883003;Apartamento;Apartamento com 2 suítes à venda, 80 m² por R$ 580.000 - Armação - Salvador/BA;2 quartos;2.0;80.0;2 vagas de garagem;2.0;3 banheiros;3.0;Salvador;Armação;580000.0;340.0;;2023-02-05 18:17;https://ba.olx.com.br/grande-salvador/imoveis/apartamento-com-2-suites-a-venda-80-m-por-r-580-000-armacao-salvador-ba-981883003
37;951051276;Apartamento;SALVADOR - Apartamento Padrão - CAMINHO DAS ÁRVORES;3 quartos;3.0;150.0;3 vagas de garagem;3.0;3 banheiros;3.0;Salvador;Caminho das Árvores;1200000.0;3385.0;1309.0;2023-02-05 18:17;https://ba.olx.com.br/grande-salvador/imoveis/salvador-apartamento-padrao-caminho-das-arvores-951051276
