QUARTO;GARAGENS;BANHEIROS;AREA;BAIRRO;PRECO
4;3;5ou+;163 a 4126m2;Graça;1M a 88M
4;2;3;163 a 4126m2;Graça;450K a 650K
1;1;1;13 a 60m2;Caminho das Árvores;450K a 650K
1;1;1;60 a 80m2;Pituba;0 a 300K
4;4;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
3;1;3;60 a 80m2;Pituba;450K a 650K
2;nan;3;60 a 80m2;Candeal;300K a 450K
3;2;3;110 a 163m2;Pituba;450K a 650K
3;1;2;80 a 110m2;Brotas;0 a 300K
4;nan;2;163 a 4126m2;Pituba;650K a 1M
3;2;4;110 a 163m2;Rio Vermelho;650K a 1M
4;2;3;110 a 163m2;Canela;650K a 1M
3;2;4;110 a 163m2;Patamares;1M a 88M
3;1;3;80 a 110m2;Amaralina;300K a 450K
4;3;4;110 a 163m2;Barbalho;1M a 88M
2;2;1;13 a 60m2;Federação;0 a 300K
2;nan;1;13 a 60m2;Engenho Velho da Federação;0 a 300K
4;3;2;110 a 163m2;Itaigara;1M a 88M
3;1;2;60 a 80m2;Vila Laura;0 a 300K
1;1;1;13 a 60m2;Alphaville I;300K a 450K
2;2;2;80 a 110m2;Jardim Apipema;650K a 1M
3;2;3;80 a 110m2;Brotas;450K a 650K
4;3;4;110 a 163m2;Alphaville I;1M a 88M
2;1;2;60 a 80m2;Caminho das Árvores;450K a 650K
2;1;2;13 a 60m2;Piatã;300K a 450K
4;5ou+;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
2;nan;1;13 a 60m2;Paralela;0 a 300K
2;2;4;80 a 110m2;Horto Florestal;650K a 1M
4;3;5ou+;110 a 163m2;Caminho das Árvores;1M a 88M
2;1;1;60 a 80m2;Cabula;300K a 450K
2;1;3;13 a 60m2;Imbuí;450K a 650K
3;2;4;80 a 110m2;Candeal;450K a 650K
3;2;4;80 a 110m2;Graça;650K a 1M
3;2;5ou+;163 a 4126m2;Comércio;1M a 88M
3;nan;2;60 a 80m2;Jardim das Margaridas;0 a 300K
2;1;1;13 a 60m2;Cabula;0 a 300K
2;2;3;60 a 80m2;Armação;450K a 650K
3;3;3;110 a 163m2;Caminho das Árvores;1M a 88M
4;2;3;163 a 4126m2;Centro;650K a 1M
1;1;1;13 a 60m2;Armação;300K a 450K
3;2;2;80 a 110m2;Alphaville I;650K a 1M
3;2;2;80 a 110m2;Imbuí;650K a 1M
4;4;4;163 a 4126m2;Candeal;1M a 88M
1;2;2;60 a 80m2;Pituaçu;450K a 650K
2;2;1;13 a 60m2;Jardim das Margaridas;0 a 300K
3;2;2;80 a 110m2;Candeal;650K a 1M
4;4;5ou+;163 a 4126m2;Ondina;1M a 88M
1;1;1;13 a 60m2;Pituba;0 a 300K
4;4;5ou+;163 a 4126m2;Candeal;1M a 88M
3;1;3;80 a 110m2;Imbuí;450K a 650K
3;1;2;80 a 110m2;Garcia;300K a 450K
2;1;3;80 a 110m2;Costa Azul;0 a 300K
3;2;3;60 a 80m2;Stiep;450K a 650K
1;1;1;13 a 60m2;Pituba;0 a 300K
4;2;2;110 a 163m2;Pituba;450K a 650K
3;2;3;80 a 110m2;Graça;650K a 1M
1;1;1;13 a 60m2;Brotas;0 a 300K
1;nan;1;13 a 60m2;Centro;0 a 300K
2;1;2;60 a 80m2;Brotas;300K a 450K
3;1;1;80 a 110m2;Pituba;300K a 450K
3;1;3;163 a 4126m2;Barra;1M a 88M
3;1;3;60 a 80m2;Stella Maris;300K a 450K
2;nan;1;13 a 60m2;Pau da Lima;0 a 300K
2;2;3;60 a 80m2;Pituaçu;450K a 650K
2;1;2;60 a 80m2;Jaguaribe;450K a 650K
3;2;2;80 a 110m2;Imbuí;450K a 650K
3;2;3;80 a 110m2;Jardim Apipema;300K a 450K
4;5ou+;5ou+;163 a 4126m2;Itaigara;1M a 88M
2;1;1;13 a 60m2;Arraial do Retiro;0 a 300K
2;1;1;13 a 60m2;Piatã;0 a 300K
1;1;1;13 a 60m2;Costa Azul;0 a 300K
1;1;1;13 a 60m2;Horto Florestal;450K a 650K
1;1;1;13 a 60m2;Jardim Placaford;0 a 300K
